word;pos_neg
Будда;1
Господь;1
Магомет;1
Немезида;-1
Судний день;-1
Христос;1
аборт;-1
абразивний;-1
абсурд;-1
абсурдний;-1
абсурдність;-1
авангардний;1
авантюрний;1
аварійний;-1
аварія;-1
автентичний;1
автомат;-1
автоматний;-1
автономний;1
авторитарний;-1
авторитетний;1
авіаудар;-1
ага;1
агонізувати;-1
агонія;-1
агонії;-1
агресивний;-1
агресивність;-1
агресор;-1
агресія;-1
агітка;-1
адаптивний;1
адаптований;1
адвокат;1
адвокати;1
адекватний;1
адекватно;1
ажурний;1
ажіотаж;-1
акламація;1
акомодаційний;1
активний;1
акторський;1
акула;-1
акуратний;1
акуратно;1
алергічний;-1
алергія;-1
алкаш;-1
алкоголізм;-1
алогічний;-1
альтруїстичний;1
альтруїстично;1
амбівалентний;-1
амбівалентність;-1
амбітний;1
амбітно;1
амбіційний;1
амбіція;1
американські гірки;-1
амністія;1
аморальний;-1
аморально;-1
аморальність;-1
аморфний;-1
ампутація;-1
анархізм;-1
анархіст;-1
анархічний;-1
анархія;-1
ангел;1
ангельський;1
анемічний;-1
аномальний;-1
аномалія;-1
антагонізм;-1
антагонізувати;-1
антагоніст;-1
антагоністичний;-1
анти;-1
анти-;-1
анти-білий;-1
антиамериканський;-1
антигромадський;-1
антигромадські;-1
антигуманний;-1
антидержавний;-1
антиконституційний;-1
антинаркотичний;1
антинародний;-1
антинауковий;-1
антиокупаційна;-1
антипатія;-1
антирадянський;1
антисанітарний;-1
антисеміт;-1
антисеміти;-1
антисемітський;-1
антисоціальний;-1
антитерористичний;1
антитетичний;-1
антиукраїнський;-1
антиутопія;-1
антихристиянський;-1
антиізраїльський;-1
апатичний;-1
апатично;-1
апатія;-1
апеляція;1
аплодисменти;1
аплодувати;1
апокаліпсис;-1
апокаліптичний;-1
апологет;-1
апологети;-1
апофеоз;1
аргументований;1
аргументовано;1
арешт;-1
аристократичний;1
арматура;-1
аромат;1
артикулювати;1
артилерист;-1
архаїчний;-1
асоціальний;-1
асперс;-1
асперсія;-1
асперсії;-1
атака;-1
атаки;-1
атакувати;-1
атиповий;1
атлетичний;1
атрофія;-1
афганський;-1
афектація;1
афективний;-1
ахінея;-1
ацербічний;-1
ацербічно;-1
бабло;-1
бабник;-1
багатий;1
багатовимірний;1
багатогранний;1
багатодітний;1
багатомільйонний;-1
багатообіцяючий;1
багатополяризація;-1
багатофункціональний;1
багатоцільовий;1
багатство;1
багатший;1
баггі;-1
багно;-1
бадьорить;1
бадьорість;1
бажано;1
бажаючи;1
базікання;-1
базікати;-1
байдуже;-1
байдужий;-1
байдужість;-1
бал;-1
балаканина;-1
балакун;-1
балалайка;-1
баламут;-1
балувати;1
банальний;-1
банально;-1
банальність;-1
баналізувати;-1
банда;-1
бандит;-1
бандитський;-1
бандформування;-1
бандюга;-1
бандюк;-1
банкрут;-1
банкрутство;-1
барвистий;1
барвисті;1
бароко;1
бароковий;1
батоги;-1
батьківський;1
бевзень;-1
бедлам;-1
бедламіт;-1
без випуску;1
без документації;-1
без змін;1
без зусиль;1
без подій;-1
